WATERBODY_CODE,Waterbody_LID,LOCNAME,TWS_code,neglondec,latdec,SA,LO
48398055,17-5046-53895,Frederick House Lake,04MD,-80.93777778,48.66055556,3877.7,-9999
48408407,16-7122-53960,Tatnall Lake,04JA,-84.11805556,48.67833333,141.6,-9999
48408847,16-3680-53921,Nalla Lake,02AC,-88.79222222,48.66944444,48.9,2
48409140,15-5970-53925,Abbess Lake,05PA,-91.68305556,48.68027778,-9999,-9999
48418927,16-3199-53954,Hawkeye Lake,02AB,-89.45222222,48.68611111,435.8,4
48419036,15-6758-53944,Crayfish Lake,02AB,-90.62944444,48.69388889,548.4,4
48427945,17-5851-53899,Lake Abitibi,04MA,-79.84472222,48.65833333,79771.6,-9999
48429116,15-6263-53964,Crystal Lake,05PA,-91.28305556,48.70944444,-9999,-9999
48429126,15-6136-53934,Nym Lake,05PA,-91.45666667,48.68555556,-9999,-9999
48429203,15-5688-53944,Factor Lake,05PB,-92.065,48.70055556,-9999,-9999
48439023,15-6913-53983,Kashabowie Lake,02AB,-90.39416667,48.71888889,2289.6,5
48439110,15-6340-53970,Eva Lake,05PA,-91.17833333,48.71333333,-9999,-9999
48448457,16-6497-54012,Strickland Lake,02BC,-84.96361111,48.7475,226.2,2
48449240,15-5236-53978,Bad Vermilion Lake,05PB,-92.68,48.735,-9999,-9999
48449334,15-4579-53993,Wasaw Lake,05PB,-93.57277778,48.74666667,-9999,-9999
48459151,15-5849-53998,Perch Lake,05PB,-91.845,48.74694444,-9999,-9999
48468501,16-6447-54048,Dayohessarah lake,02BC,-85.03,48.78083333,1113.6,3
48468932,16-3132-54041,Dog Lake,02AB,-89.54277778,48.76388889,14804.3,6
48469012,15-7050-54058,Athelstane Lake,02AB,-90.20805556,48.77444444,1806.4,4
48469204,15-5676-54025,Calm Lake,05PB,-92.08083333,48.77416667,-9999,-9999
48478537,16-6003-54025,White Lake,02BC,-85.63555556,48.76944444,5888.5,7
48479104,15-6401-54050,Crooked Pine Lake,05PB,-91.09361111,48.78444444,-9999,-9999
48479132,15-6076-54043,Rawn Reservoir,05PB,-91.53694444,48.785,-9999,-9999
48479240,15-5221-54041,Little Turtle Lake,05PB,-92.69944444,48.79111111,-9999,-9999
48488520,16-6225-54072,Kwinkwaga Lake,02BC,-85.33222222,48.80777778,811.3,5
48489107,15-6383-54085,Mercutio Lake,05PB,-91.11694444,48.81611111,-9999,-9999
48489140,15-5979-54059,Steep Rock Lake,05PB,-91.66638889,48.79777778,-9999,-9999
48499058,15-6493-54089,Union Lake,05PB,-90.96861111,48.82833333,-9999,-9999
48509030,15-6827-54135,Lac des Mille Lacs,05PB,-90.49444444,48.84888889,24112.8,-9999
48529020,15-6827-54135,Lac des Mille Lacs - Eastern Basin,05PB,-90.33333333,48.86666667,24112.8,-9999
48529051,15-6578-54141,Bedivere Lake,05PB,-90.84944444,48.86805556,2252.2,-9999
48529202,15-5704-54143,Dovetail Lake,05PB,-92.04027778,48.88,-9999,-9999
48538347,17-2953-54198,Lower Minnipuka Lake,04LJ,-83.79527778,48.89638889,251.1,-9999
48539131,15-6065-54144,Marmion Lake,05PB,-91.5475,48.875,-9999,-9999
48549218,15-5502-54176,Manion Lake,05PB,-92.31583333,48.91138889,-9999,-9999
48549349,15-4396-54165,Off Lake,05PB,-93.825,48.90055556,-9999,-9999
48559000,15-7307-50900,Lac du Milieu,05PB,-90.00472222,48.9275,121.48,-9999
48559134,15-6034-54181,Finlayson Lake,05PB,-91.58972222,48.90916667,-9999,-9999
48568153,17-4357-54206,Oke Lake,04LB,-81.87833333,48.93722222,-9999,-9999
48569331,15-4610-54218,Calder Lake,05PB,-93.53277778,48.94555556,-9999,-9999
48578407,16-7102-54270,Gull Lake,04JA,-84.12888889,48.96194444,107.11,-9999
48579112,15-6317-54251,Farley Lake,05PB,-91.205,48.96194444,-9999,-9999
48579157,15-5770-54220,Turtle Lake,05PB,-91.94833333,48.94805556,-9999,-9999
48579211,15-5586-54227,Sandbeach Lake,05PB,-92.19888889,48.95611111,-9999,-9999
48579216,15-5537-54222,Pettit Lake,05PB,-92.2675,48.95194444,-9999,-9999
48579251,15-5100-54230,Otukamamoan (Trout) Lake,05PB,-92.86361111,48.96166667,-9999,-9999
48579346,15-4430-54221,Burditt Lake,05PB,-93.77333333,48.95638889,-9999,-9999
48589149,15-5858-54247,Crowrock Lake,05PB,-91.82777778,48.97166667,-9999,-9999
48598656,16-5042-54260,Cairngorm Lake,02BA,-86.93722222,48.99194444,1032.1,3
48599348,15-4403-54276,Little Kishkutena Lake,05PD,-93.80888889,48.9975,-9999,-9999
49008416,16-6991-54320,Cameron Lake,04JA,-84.27722222,49.01083333,2663.2,-9999
49009002,15-7156-54333,Muskeg Lake,02AB,-90.05194444,49.01722222,3473.6,4
49009157,15-5755-54281,Clearwater West Lake,05PB,-91.96861111,49.00333333,-9999,-9999
49009224,15-5429-54280,Eltrut Lake,05PB,-92.41361111,49.00555556,-9999,-9999
49009330,15-4632-54287,Loonhaunt Lake,05PB,-93.50388889,49.01222222,-9999,-9999
49018450,16-6583-54325,Lake Placid,04JC,-84.83388889,49.02694444,131,-9999
49019205,15-5670-54304,Grey Trout Lake,05PB,-92.08388889,49.02472222,-9999,-9999
49028904,16-3483-54344,Walotka Lake,02AC,-89.07638889,49.04555556,97,0
49029210,15-5600-54290,Mount Lake,05PB,-92.18,49.01305556,-9999,-9999
49038509,16-6348-54346,Tocheri Lake,02BC,-85.15472222,49.05138889,865,3
49039304,15-4943-54343,Vista Lake,05PB,-93.07861111,49.06361111,-9999,-9999
49048235,17-3846-54330,Saganash Lake,04LF,-82.57944444,49.04111111,-9999,-9999
49048306,17-3441-54377,Opasatika Lake,04LL,-83.13444444,49.07416667,-9999,-9999
49058505,16-6398-54390,Shekak Lake,04JC,-85.085,49.09,769.4,-9999
49059009,15-7080-54418,Ricestalk Lake,02AB,-90.1525,49.09555556,274.6,4
49059335,15-4595-54375,Pipestone Lake,05PB,-93.54388889,49.09944444,-9999,-9999
49068441,16-6683-54413,Haken Lake,04JC,-84.69444444,49.10388889,97.1,-9999
49068909,16-3431-54406,Arrowroot Lake,02AC,-89.15583333,49.10805556,178.06,4
49069141,15-5955-54404,Sandford Lake,05PB,-91.69194444,49.11083333,-9999,-9999
49079136,15-6015-54420,Irene Lake,05PB,-91.60861111,49.12444444,-9999,-9999
49079152,15-5816-54402,White Otter Lake,05PB,-91.88166667,49.11111111,-9999,-9999
49079342,15-4479-54411,Katimiagamak Lake,05PD,-93.71472222,49.12222222,-9999,-9999
49089241,15-5231-54423,Entwine Lake,05PB,-92.68388889,49.13527778,-9999,-9999
49098825,16-3964-54451,Purdom Lake,02AD,-88.42083333,49.15194444,246.1,4
49099336,15-4562-54445,Schistose Lake,05PB,-93.60111111,49.15416667,-9999,-9999
49108700,16-4995-54471,Catlonite Lake,04JD,-87.00694444,49.17833333,326.2,-9999
49108927,16-3207-54488,Jolly Lake,02AD,-89.45944444,49.16777778,96.9,2
49109109,15-6345-54482,Scotch Lake,05QA,-91.15472222,49.17388889,-9999,-9999
49109322,15-4725-54467,Bluffpoint Lake,05PB,-93.37694444,49.17472222,-9999,-9999
49119202,15-5704-54495,Dibble Lake,05PB,-92.03444444,49.19666667,-9999,-9999
49128937,16-3103-54530,Lac des Iles,02AB,-89.605,49.20222222,1568.38,4
49129150,15-5842-54507,Nora Lake,05PB,-91.84444444,49.205,-9999,-9999
49139352,15-4390-54514,Kakagi Lake,05PD,-93.8375,49.21472222,-9999,-9999
49148753,16-4348-54546,Kilgour Lake,02AE,-87.89388889,49.24333333,97.8,3
49149128,15-6111-54547,Kay Lake,05QA,-91.47333333,49.23666667,-9999,-9999
49158832,16-3884-54562,Frazer Lake,02AD,-88.52916667,49.25222222,1979.08,4
49158856,16-3593-54568,Muskrat Lake,02AC,-88.94305556,49.25305556,505.75,4
49159258,15-5023-54567,Lower Manitou Lake,05PB,-92.96861111,49.26472222,-9999,-9999
49168626,16-5412-54570,Kagiano Lake,02BB,-86.40583333,49.31,1274.85,5
49169100,15-6448-54598,Savoy Lake,05QA,-91.01,49.27611111,-9999,-9999
49169322,15-4729-54570,Lawrence Lake,05PD,-93.37333333,49.2675,-9999,-9999
49189351,15-4375-54620,Cedar Tree Lake,05PD,-93.85972222,49.30944444,-9999,-9999
49199203,15-5684-54631,WE66-23 Lake,05PB,-92.05972222,49.31916667,-9999,-9999
49199208,15-5627-54632,Bending Lake,05PB,-92.13777778,49.32027778,-9999,-9999
49199221,15-5472-54633,Wapageisi Lake,05PB,-92.35083333,49.32222222,-9999,-9999
49199333,15-4593-54629,Rowan Lake,05PD,-93.56027778,49.31972222,-9999,-9999
49208748,16-4420-54651,Barbara Lake,02AD,-87.80111111,49.34388889,2352.4,4
49208853,16-3634-54687,Black Sturgeon Lake,02AC,-88.88055556,49.35805556,5105.4,6
49209151,15-5833-54665,Horseshoe Lake,05PB,-91.85361111,49.34777778,-9999,-9999
49218901,16-3534-54692,Circle Lake,02AC,-89.01888889,49.36,388,4
49219015,15-6981-54703,Pakashkan Lake,04GB,-90.27194444,49.35555556,4737.1,5
49229346,15-4431-54685,Caviar Lake,05PD,-93.775,49.37472222,-9999,-9999
49229354,15-4342-54693,Dogpaw Lake,05PD,-93.90611111,49.37472222,-9999,-9999
49238919,16-3319-54724,Gennis Lake,02AD,-89.32944444,49.39,125.13,3
49239218,15-5503-54708,Stormy Lake,05QD,-92.30777778,49.38972222,-9999,-9999
49248033,17-5331-54730,Little Abitibi Lake,04ME,-80.54305556,49.41083333,3169.47,-9999
49248043,17-5202-54735,Humestone Lake,04ME,-80.72083333,49.41583333,98.1,-9999
